incident_url,paragraph_num,description
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24-4/,1,"The individual was described as female, with a light complexion, approximately 30 to 40 years old and approximately 165 cm (5’5”). They were wearing a black hoodie and pink sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24-3/,1,"The first individual was described as male, with a dark complexion, approximately 20 to 25 years old and approximately 183 cm (6’). They had short hair. They were wearing a black hoodie and black sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24-3/,2,"The second individual was described as male, with a dark complexion, approximately 20 to 25 years old and approximately 175 cm (5’10”). They had short hair. They were wearing a grey hoodie and grey sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24-2/,1,"The individual was described as male, with a dark complexion, approximately 30 to 35 years old and approximately 180 cm (5’11”). They had medium-length black hair and a black goatee. They were wearing a camouflage jacket."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24/,1,"The individual was described as male, with a dark complexion, approximately 30 to 35 years old and approximately 188 cm (6’2”). They were wearing a dark blue hoodie, dark blue sweatpants, black sneakers and carrying a blue backpack."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-20-2/,1,"The individual was described as female, with a light complexion, approximately 20 to 30 years old and approximately 168 cm (5’6”). They had long dark brown straight hair. They were wearing a black jacket."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-20/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-19-2/,1,"The individual was described as male, with a dark complexion, is 24 years old and approximately 165 cm (5’5”). They had short black hair. They were wearing a dark blue baseball hat, grey Raptors t-shirt, black sweatpants and black flip-flops."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-19/,1,"The individual was described as male, with a dark complexion, is 24 years old and approximately 165 cm (5’5”). They had short black hair. They were wearing a black baseball hat, grey t-shirt, blue jeans, black flip-flops and carrying a garbage bag."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-17-2/,1,"The individual was described as female, with a light complexion, approximately 30 to 40 years old and approximately 173 cm (5’8”). They had medium-length blonde straight hair. They were wearing a multi-coloured coat, blue shorts, multi-coloured tights and black sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-17/,1,"The first individual was described as male, with a dark complexion, approximately 30 to 40 years old and approximately 165 cm (5’5”). They were wearing a black baseball hat, black hoodie and black jeans."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-17/,2,"The second individual was described as male, with a dark complexion, approximately 18 to 25 years old and approximately 183 cm (6’). They were wearing a black hoodie and black sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-12-2/,1,"The individual was described as male, with a dark complexion, is 24 years old and approximately 180 cm (5’11”). They had short black hair. They were wearing a black sweater, black pants and carrying a black bag."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-12/,1,"The individual was described as male, with a light complexion, is 18 years old and approximately 173 cm (5’8”). They had short light brown hair. They were wearing a dark blue hoodie and blue jeans."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-5-2/,1,"The individual was described as male, with a medium complexion, is 24 years old and approximately 170 cm (5’7”). They had long black hair in a ponytail. They were wearing an orange t-shirt, dark blue sweatpants and beige sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-5/,1,"The individual was described as male with a light complexion. They were wearing a black balaclava, black sunglasses, black headphones, black shirt, black pants, black shoes and carrying a black backpack."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-28-2/,1,"The individual was described as male, with a medium complexion, approximately 23 to 30 years old and approximately 168 cm (5’6”). They had medium-length black hair in a ponytail. They were wearing a dark green sweater, white t-shirt, blue jeans, beige sneakers and carrying a black backpack."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-28/,1,"The individual was described as male, with a light complexion, approximately 40 to 50 years old and approximately 173 cm (5’8”). They had long blonde hair. They were wearing a grey vest, black hoodie, black pants and black shoes."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-25-2/,1,"The individual was described as male, with a light complexion and approximately 30 to 40 years old. They had short dark brown hair. They were wearing black headphones, black t-shirt, grey pants and white sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-25/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-20/,1,"The individual was described as male, with a light complexion, is 42 years old and approximately 178 cm (5’10”). They had salt and pepper facial hair. They were wearing a dark blue baseball hat, dark blue hoodie, white t-shirt and beige capris."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-19-3/,1,"The individual was described as male, with a light complexion, is 44 years old and approximately 188 cm (6’2”). They had medium-length black hair. They were wearing a black t-shirt, grey sweatpants and were barefoot."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-19-2/,1,"The individual was described as male, with a medium complexion, is 39 years old and approximately 173 cm (5’8”). They had medium-length dirty blonde hair. They were wearing a black coat, green coat, black sweatpants and black sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-19/,1,"The individual was described as female, with a light complexion, is 60 years old and approximately 160 cm (5’3”). They had medium-length salt and pepper hair. They were wearing a black leather coat, white t-shirt, black tights and black sneakers."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-15/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-13-2/,1,"The individual was described as male, with a dark complexion, is 28 years old and approximately 170 cm (5’7”). They had medium-length black hair. They were wearing a tanned leather jacket and dark blue jeans."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-13/,1,"The individual was described as male, with a light complexion, is 58 years old and approximately 178 cm (5’10”). They had short black hair and a salt and pepper full beard. They were wearing a white t-shirt and green sweatpants."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-12/,1,"The individual was described as female, with a medium complexion, is 37 years old and approximately 170 cm (5’7”). They had long black straight hair. They were wearing a white baseball hat, a necklace, black trench coat, black t-shirt, black tights, black boots and carrying three black bags."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-11/,1,"The individual was described as male, with a light complexion, is 37 years old and approximately 175 cm (5’9”). They had short dark brown hair. They were wearing a checkered hat, black golf shirt, black cargo pants and black boots."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-8-4/,1,"The individual was described as female, with a light complexion, is 40 to 50 years old and approximately 157 cm (5’2”). They had short dark brown brush cut hair. They were wearing a sleeveless top."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-8-3/,1,No description available.
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-8-2/,1,"The individual was described as male, with a dark complexion, is 24 years old and approximately 165 cm (5’5”). They had short black hair. They were wearing a black t-shirt and brown shorts."
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/09/security-incident-september-8/,1,No description available.
