incident_url,title,date,location_of_incident,date_of_incident,date_reported,incident_details,incident,loi_standardized,extracted_streets,doi_hour,doi_weekday,doi_day,doi_month,doi_semester,doi_year,coordinates
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-23/,Assault,"November 23, 2023",Gould Street and Bond Street,2023-10-30 14:00:00,2023-11-21 14:00:00,A TMU community member reported to TMU Security that an individual approached them and spat at them. The community member then left the area. The community member declined assistance from Toronto Police Service.,Assault,bond street and gould street,"['bond street', 'gould street']",14,1,30,10,Fall,2023,"43.65795810700874, -79.37897634514208"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-15-2/,Assault,"November 15, 2023",Mutual Street and Dundas Street East,2023-11-13 15:00:00,2023-11-13 15:00:00,A TMU community member reported to TMU Security that they witnessed an individual running towards a member of the public and punching them. The individual then walked towards the community member and spat at them. The community member immediately left the area. Security attended but the individual had already left the area. The community member declined assistance from Toronto Police Service.,Assault,dundas street east and mutual street,"['dundas street east', 'mutual street']",15,1,13,11,Fall,2023,"43.656818000925945, -79.3756375497538"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-15/,Assault,"November 15, 2023",Gerrard Street East and Yonge Street,2023-11-09 21:30:00,2023-11-09 21:30:00,TMU Security witnessed an individual yelling at three TMU community members and then walking towards one and bumping into them with their shoulder. Security intervened and the individual left.  The community members declined assistance from Toronto Police Service.,Assault,gerrard street and yonge street,"['gerrard street', 'yonge street']",21,4,9,11,Fall,2023,"43.65908320758821, -79.38208988425687"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-7/,Assault,"November 07, 2023",Tim Hortons at the Yonge- Dundas Square,2023-11-02 16:30:00,2023-11-02 16:30:00,A TMU community member reported to TMU Security that an individual approached them and spat towards them. The individual then shoved a member of the public causing them to collide with a second member of the public. The individual then left the store and while outside spat at the second member of the public and chased the first member of the public. The community member declined assistance from Toronto Police Service.,Assault,dundas square,['building'],16,4,2,11,Fall,2023,"43.656107306160074, -79.38017906665567"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-3-4/,Assault,"November 03, 2023",Nelson Mandela Walk and Gould Street,2023-11-01 19:00:00,2023-11-01 19:00:00,"A TMU community member reported to TMU Security that an individual approached them and threw a non-edged object at them hitting them in the face. Security attended, identified the individual and barred them from campus. No visible injuries were reported. The community member declined assistance from Toronto Police Service.",Assault,gould street and victoria street,"['gould street', 'victoria street']",19,3,1,11,Fall,2023,"43.65768287052507, -79.38016088904517"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-3-3/,Assault,"November 03, 2023",Mutual Street and Gould Street,2023-11-01 07:15:00,2023-11-01 09:45:00,"A TMU community member reported to TMU Security that two occupants drove by in a vehicle and threw a non-edged object at them, which hit them in the head. Visible injuries were sustained. The community member declined medical assistance and assistance from Toronto Police Service.",Assault,gould street and mutual street,"['gould street', 'mutual street']",7,3,1,11,Fall,2023,"43.65852639815135, -79.37634984144941"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-3-2/,Toronto Police Service News Release,"November 03, 2023",Carlton Street and Church Street,2023-10-30 18:00:00,2023-11-01 21:45:00,Toronto Police Service has published a news release regarding an aggravated assault investigation and are seeking assistance from the community.,Assault,carlton street and church street,"['carlton street', 'church street']",18,1,30,10,Fall,2023,"43.66190088114445, -79.3793601158093"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-3/,Assault: Suspect Arrested,"November 03, 2023",Pitman Hall,2023-10-28 23:00:00,2023-10-28 23:00:00,"A TMU community member reported to TMU Security that an individual approached them, grabbed their wrist and told them to come to them. The community member pulled away and left. Security attended and arrested the individual. No visible injuries were reported. Toronto Police Service were notified and attended.",Assault,pitman hall,['building'],23,6,28,10,Fall,2023,"43.65928902658296, -79.37698818338878"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-1-3/,Sexual Assault: Suspect Arrested,"November 01, 2023",Victoria Street and Gould Street,2023-10-31 01:00:00,2023-10-31 01:00:00,A member of the public reported to TMU Security that an individual sexually assaulted them. Security approached the individual and arrested them. Toronto Police Service were notified and attended.,Sexual Assault,gould street and victoria street,"['gould street', 'victoria street']",1,2,31,10,Fall,2023,"43.65768287052507, -79.38016088904517"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-1-2/,Assault: Suspect Arrested,"November 01, 2023",Church Street and Gerrard Street East,2023-10-26 17:00:00,2023-10-26 17:00:00,"A TMU community member reported to TMU Security that an individual approached them and punched them on the face. The community member fled and was chased by the individual. The community member notified Toronto Police Service in the area, and the individual was arrested.",Assault,church street and gerrard street,"['church street', 'gerrard street']",17,4,26,10,Fall,2023,"43.65985897345095, -79.37850762740992"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/11/security-incident-november-1/,Assault,"November 01, 2023",Gould Street and Church Street,2023-10-26 09:45:00,2023-10-26 13:30:00,A TMU community member reported to TMU Security that an individual bumped into them and threatened to harm them. The community member ignored them and headed into a nearby TMU building. The individual followed them and told them they would wait for them outside. The community member declined assistance from Toronto Police Service.,Assault,church street and gould street,"['church street', 'gould street']",9,4,26,10,Fall,2023,"43.658189627362574, -79.37782120191821"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24-6/,Sexual Assault,"October 24, 2023",Library Building,2023-10-21 19:30:00,2023-10-21 19:30:00,A TMU community member reported to TMU Security that an individual sexually assaulted them. Security attended but the individual had already left campus.The community member informed security they would notify Toronto Police Service.,Sexual Assault,library,['building'],19,6,21,10,Fall,2023,"43.65779910775733, -79.38040100856098"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24-5/,Assault,"October 24, 2023",Dundas Street East and Yonge Street,2023-10-21 14:30:00,2023-10-21 14:30:00,"A member of the public reported to TMU Security witnessing a member of the public asking for a cigarette from an individual. The individual then stabbed the member of the public and left the area. Toronto Police Service and Toronto Paramedic Service were notified, attended and located the member of the public who had been injured.",Assault,dundas street and yonge street,"['dundas street', 'yonge street']",14,6,21,10,Fall,2023,"43.65633116175363, -79.38091825259052"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24-4/,Assault,"October 24, 2023",Gould Street and Bond Street,2023-10-20 12:45:00,2023-10-20 12:45:00,Three TMU community members reported to TMU Security witnessing an individual chasing a member of the public while brandishing a non-edged object. Security attended and the individual left campus. The member of the public declined assistance and left campus.,Assault,bond street and gould street,"['bond street', 'gould street']",12,5,20,10,Fall,2023,"43.65795810700874, -79.37897634514208"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24-3/,Robbery,"October 24, 2023",Victoria Street and Dundas Street East,2023-10-19 21:45:00,2023-10-19 21:45:00,TMU Security observed a member of the public chasing two individuals. One of the individuals was then observed swinging a non-edged object at the member of the public and striking them on the head. The individuals then left campus. The member of the public informed security that the individuals stole their belongings. No visible injuries were noted. Toronto Police Service were notified and attended.,Robbery,dundas street east and victoria street,"['dundas street east', 'victoria street']",21,4,19,10,Fall,2023,"43.65629025535696, -79.37957631384445"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24-2/,Assault,"October 24, 2023",Yonge Street and Dundas Street East,2023-10-18 16:30:00,2023-10-19 11:00:00,A TMU community member reported to TMU Security that an individual approached them brandishing an edged object demanding they come to them. The community member ignored them and the individual followed them until the community member entered a nearby building. The community member advised security they would notify Toronto Police Service.,Assault,dundas street and yonge street,"['dundas street', 'yonge street']",16,3,18,10,Fall,2023,"43.65633116175363, -79.38091825259052"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-24/,Assault,"October 24, 2023",Gould Street and O’Keefe Laneway,2023-10-17 15:30:00,2023-10-17 15:30:00,"A TMU community member reported to TMU Security that an individual approached them and punched them on the chest. The community member walked away and the individual followed them, yelled at them and then left the area. No visible injuries were reported. Toronto Police Service in the area were notified.",Assault,gould street and o’keefe lane,"['gould street', 'o’keefe lane']",15,2,17,10,Fall,2023,"43.657543705630616, -79.38073635225399"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-20-2/,Assault,"October 20, 2023",Church Street and Gould Street,2023-10-18 11:15:00,2023-10-18 12:30:00,A TMU community member reported to TMU Security that an individual approached them brandishing an edged object and threatened to harm them. A passerby intervened and the subject left campus. Toronto Police Service was notified.,Assault,church street and gould street,"['church street', 'gould street']",11,3,18,10,Fall,2023,"43.658189627362574, -79.37782120191821"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-20/,Assault,"October 20, 2023",Carlton Street and Yonge Street,2023-10-18 11:45:00,2023-10-18 11:45:00,A TMU community member reported to TMU Security that an individual ran towards them brandishing an edged object and threatened to harm them. The community member ran into a nearby building and was not followed. Toronto Police Service attended.,Assault,carlton street and yonge street,"['carlton street', 'yonge street']",11,3,18,10,Fall,2023,"43.66137888348643, -79.38310174644049"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-19-2/,Criminal Harassment,"October 19, 2023",Basil Box at the Sheldon & Tracy Levy Student Learning Centre,2023-10-17 11:30:00,2023-10-17 11:30:00,"A TMU community member reported to TMU Security that an individual followed them inside the store. The individual then approached the community member, and two community guests intervened and the individual left the store and stood outside the entrance. The community guests approached them again and the individual informed them they were waiting for the community member.  Security attended but the individual had already left campus. The community member declined assistance from Toronto Police Service.",Criminal Harassment,student learning centre,['building'],11,2,17,10,Fall,2023,"43.657812498079906, -79.38112441739146"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-19/,Sexual Assault,"October 19, 2023",Gerrard Street East and Church Street,2023-10-17 11:15:00,2023-10-17 11:15:00,A TMU community member reported to TMU Security that an individual approached them and sexually assaulted them. Security attended but the individual had already left campus.The community member declined assistance from Toronto Police Service.,Sexual Assault,church street and gerrard street,"['church street', 'gerrard street']",11,2,17,10,Fall,2023,"43.65985897345095, -79.37850762740992"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-17-2/,Assault,"October 17, 2023",Gould Street and Yonge Street,2023-10-16 12:00:00,2023-10-16 12:00:00,A TMU community member reported that an individual approached them and punched them on the head. The community member then entered a nearby TMU building and called Security. Security attended and barred the individual from campus. No visible injuries were reported. The community member declined assistance from Toronto Police Service.,Assault,gould street and yonge street,"['gould street', 'yonge street']",12,1,16,10,Fall,2023,"43.657411127296, -79.38136126154417"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-17/,Assault,"October 17, 2023",Victoria Street and Dundas Street East,2023-10-14 17:00:00,2023-10-14 17:00:00,TMU Security observed a member of the public being chased by an individual. The individual caught up with the member of the public and tripped them. The individual was joined by another individual and both kicked the member of the public in the face. Security intervened and the individuals fled from campus. The member of the public declined medical assistance and Toronto Police Service.,Assault,dundas street east and victoria street,"['dundas street east', 'victoria street']",17,6,14,10,Fall,2023,"43.65629025535696, -79.37957631384445"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-12-2/,Sexual Assault,"October 12, 2023",Parking Garage,2023-10-07 04:15:00,2023-10-07 04:15:00,Two members of the public reported to TMU Security that an individual sexually assaulted them. Toronto Police Service was notified and attended.,Sexual Assault,parking garage,['building'],4,6,7,10,Fall,2023,
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-12/,Sexual Assault,"October 12, 2023",Church Street and Dundas Street East,2023-10-07 00:15:00,2023-10-07 00:15:00,"A TMU community member reported to TMU Security that an individual approached them and sexually assaulted them. Security attended, located the individual and identified them. The community member declined assistance from Toronto Police Service.",Sexual Assault,church street and dundas street east,"['church street', 'dundas street east']",0,6,7,10,Fall,2023,"43.65650076033603, -79.37713412637842"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-5-2/,Assault: Suspect Arrested,"October 05, 2023",Gould Street and Church Street,2023-10-01 16:15:00,2023-10-01 16:15:00,"A member of the public reported an individual approaching them and asking for a cigarette. The member of the public ignored them and the individual began waving their hands, and initially blocked their path when the member of the public attempted to leave.",Assault,church street and gould street,"['church street', 'gould street']",16,7,1,10,Fall,2023,"43.658189627362574, -79.37782120191821"
https://www.torontomu.ca/community-safety-security/security-incidents/list-of-security-incidents/2023/10/security-incident-october-5/,Criminal Harassment,"October 05, 2023",Nelson Mandela Walk and Gerrard Street East,2023-09-29 11:15:00,2023-09-29 11:15:00,"Two TMU community members reported to TMU Security that an individual yelled inappropriate comments at a passerby. The individual then turned towards the community members, and yelled at them that someone needs to harm them before then leaving the area. Security attended but the individual had already left campus. The community  members declined assistance from Toronto Police Service.",Criminal Harassment,gerrard street east and nelson mandela walk,"['gerrard street east', 'nelson mandela walk']",11,5,29,9,Fall,2023,"43.65937181757632, -79.38079655980259"
